plad_id,leader,country,startyear,endyear,adm1,adm0,foreign_leader,geo_precision,latitude,longitude
TRI_2015_1,Keith Rowley,Trinidad and Tobago,2015,2023,Tobago,Trinidad and Tobago,0,1,11.220600128173828,-60.71269989013672
TUN_1987_1,Zine Al-Abidine Ben Ali,Tunisia,1987,2011,Sousse,Tunisia,0,1,35.86090087890625,10.603130340576172
TUN_2011_1,Ghannouchi,Tunisia,2011,2011,Gabès,Tunisia,0,2,33.89152145385742,9.796290397644043
TUN_2011_2,Mebazaa,Tunisia,2011,2011,Tunis,Tunisia,0,4,36.8189697265625,10.165789604187012
TUN_2011_3,Marzouki,Tunisia,2011,2014,Nabeul,Tunisia,0,1,36.602481842041016,10.501490592956543
TUN_2014_1,Caid Essebsi,Tunisia,2014,2019,Tunis,Tunisia,0,1,36.86869812011719,10.341739654541016
TUN_2019_1,Mohammed Ennaceur,Tunisia,2019,2019,Mahdia,Tunisia,0,1,35.29999923706055,10.716670036315918
TUN_2019_2,Kais Saied,Tunisia,2019,2023,Nabeul,Tunisia,0,1,36.46916961669922,10.782219886779785
TUR_1989_1,Akbulut,Turkey,1989,1991,Erzincan,Turkey,0,1,39.73918914794922,39.490150451660156
TUR_1991_1,Yilmaz,Turkey,1991,1991,Istanbul,Turkey,0,4,41.00823974609375,28.97835922241211
TUR_1991_2,Demirel,Turkey,1991,1993,Isparta,Turkey,0,1,37.97483444213867,30.64299964904785
TUR_1993_1,Erdal Inonu,Turkey,1993,1993,Ankara,Turkey,0,4,39.920631408691406,32.85403060913086
TUR_1993_2,Ciller,Turkey,1993,1996,Istanbul,Turkey,0,1,41.00823974609375,28.97835922241211
TUR_1996_1,Yilmaz,Turkey,1996,1996,Istanbul,Turkey,0,4,41.00823974609375,28.97835922241211
TUR_1996_2,Erbakan,Turkey,1996,1997,Sinop,Turkey,0,1,42.02682876586914,35.16252899169922
TUR_1997_1,Yilmaz,Turkey,1997,1999,Istanbul,Turkey,0,4,41.00823974609375,28.97835922241211
TUR_1999_1,Ecevit,Turkey,1999,2002,Istanbul,Turkey,0,1,41.00823974609375,28.97835922241211
TUR_2002_1,Abdullah Gul,Turkey,2002,2003,Kayseri,Turkey,0,4,38.73221969604492,35.48527908325195
TUR_2003_1,Erdogan,Turkey,2003,2023,Istanbul,Turkey,0,1,41.03178024291992,28.968420028686523
UAE_1971_1,An-Nahayan,United Arab Emirates,1971,2004,Abu Dhabi,United Arab Emirates,0,1,24.45388412475586,54.37734603881836
UAE_2004_1,Khalifa Al Nahayan,United Arab Emirates,2004,2022,Abu Dhabi,United Arab Emirates,0,1,24.191669464111328,55.76055908203125
UAE_2022_1,Mohamed bin Zayed Al Nahyan,United Arab Emirates,2022,2023,Abu Dhabi,United Arab Emirates,0,1,24.191669464111328,55.76055908203125
